Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00422776  push topprobe.6B4280                                              L"Pin"
004227BB  push topprobe.6B4274                                              L"Add "
004227CA  push topprobe.6B4260                                              L" to Watch"
0042288B  push topprobe.6B4274                                              L"Add "
0042289A  push topprobe.6B4244                                              L" to Waveform"
00422966  push topprobe.6B4238                                              L"Set "
00422976  push topprobe.6B421C                                              L" to &0\tCtrl+0"
00422A36  push topprobe.6B4238                                              L"Set "
00422A45  push topprobe.6B4200                                              L" to &1\tCtrl+1"
00422B06  push topprobe.6B4238                                              L"Set "
00422B15  push topprobe.6B41E4                                              L" to &Z\tCtrl+Z"
00422BD6  push topprobe.6B41D0                                              L"&Toggle "
00422BE5  push topprobe.6B41B4                                              L" Value\tCtrl+T"
00422CB5  push topprobe.6B419C                                              L"instruction"
00422D68  push topprobe.6B4188                                              L"bsdl file"
00422E10  push topprobe.6B4178                                              L"package"
00422EB8  push topprobe.6B4160                                              L"properties"
00422F67  push topprobe.6B4154                                              L"Name "
00422F77  push topprobe.6B1698                                              L"..."
0042303B  push topprobe.6B411C                                              L"Edit Pin Names and Buses..."
004239F1  push topprobe.6AD864                                              "vector<T> too long"
