Found strings are
Address    Disassembly                               Text string
00414AC9   MOV ESI,004A22E8                          ASCII "                       "
0041A135   PUSH 004A23E4                             ASCII "Attainment"
0041A17E   MOV EBP,004A23DC                          ASCII "true"
0041A1D9   MOV EBP,004A23DC                          ASCII "true"
0041A234   MOV EBP,004A23DC                          ASCII "true"
0041A625   PUSH 004A235C                             ASCII "C:\Projects\Sprite Class Library\Sources\SCL\SclWindow.cpp"
0041BBA9   PUSH 004A241C                             ASCII ".omc"
0041BC97   PUSH 004A23F0                             ASCII "%s\IKEYSXFR %s.OMC 'Attainment Overlay' 1A"
0041BE4C   PUSH 004A249C                             ASCII "%s"
0041BEC8   PUSH 004A2490                             ASCII "Microsoft"
0041BF5D   PUSH 004A245C                             ASCII "you have %ld days left to evaluate this software"
0041BFE4   PUSH 004A2458                             ASCII "%ld"
0041C018   MOV EDI,004A2424                          ASCII "The Evaluation period has expired for this software"
0041C057   MOV ESI,004A2424                          ASCII "The Evaluation period has expired for this software"
0041C140   PUSH 004A24D8                             ASCII "blahblah.tmp"
0041C1B9   MOV EDI,004A24A0                          ASCII "This software is licensed to run only from the CD-Rom"
0041C1F6   MOV ESI,004A24A0                          ASCII "This software is licensed to run only from the CD-Rom"
0041C2E2   PUSH 004A2500                             ASCII ".dat"
0041C319   PUSH 004A24F8                             ASCII ".omt"
0041C34D   PUSH 004A24F0                             ASCII ".demo"
0041C381   PUSH 004A24E8                             ASCII "!.dat"
0041D285   PUSH 004A2518                             ASCII "pref #%ld"
0041D2C1   PUSH 004A2508                             ASCII "Software\%s\%s"
0041D358   PUSH 004A2518                             ASCII "pref #%ld"
0041D38C   PUSH 004A2508                             ASCII "Software\%s\%s"
0041D8D0   MOV ESI,004A23DC                          ASCII "true"
0041DB80   PUSH 004A2458                             ASCII "%ld"
0041DB9D   MOV EAX,004A2524                          ASCII "false"
0041DBA4   MOV EAX,004A23DC                          ASCII "true"
0042270A   PUSH 004A2628                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFilePath.cpp"
0042289F   PUSH 004A2628                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFilePath.cpp"
00422BFF   PUSH 004A2628                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFilePath.cpp"
00423279   PUSH 004A2708                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaDataBase.cpp"
004234E4   PUSH 004A2708                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaDataBase.cpp"
004236CF   PUSH 004A2708                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaDataBase.cpp"
0042387B   PUSH 004A2708                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaDataBase.cpp"
004242BE   PUSH 004A2708                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaDataBase.cpp"
0042445B   PUSH 004A2708                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaDataBase.cpp"
00424603   PUSH 004A2708                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaDataBase.cpp"
00424E62   MOV DWORD PTR DS:[EAX],004942C0           ASCII "pNB"
00424E92   MOV DWORD PTR DS:[ECX],004942C0           ASCII "pNB"
004258C0   PUSH 004A2790                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFileStream.cpp"
00425A51   PUSH 004A2790                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFileStream.cpp"
00425C32   PUSH 004A2790                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFileStream.cpp"
00425DB4   PUSH 004A2790                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFileStream.cpp"
00425F82   PUSH 004A2790                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFileStream.cpp"
00426122   PUSH 004A2790                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFileStream.cpp"
004262A3   PUSH 004A2790                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFileStream.cpp"
00426457   PUSH 004A2790                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinFileStream.cpp"
004266F1   MOV DWORD PTR DS:[ESI],00494380           ASCII "PhB"
00426712   MOV DWORD PTR SS:[EBP],00494330           ASCII "pmB"
0042689E   MOV DWORD PTR DS:[ESI],00494380           ASCII "PhB"
004268C0   MOV DWORD PTR DS:[EDI],00494330           ASCII "pmB"
004280E4   PUSH 004A2860                             ASCII "Comic Sans MS"
00428F27   PUSH 004A2870                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWorld.cpp"
0042910B   PUSH 004A2870                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWorld.cpp"
004297D9   PUSH 004A2948                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaTilemapBackground.cpp"
0042996C   PUSH 004A2948                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaTilemapBackground.cpp"
00429D22   PUSH 004A2948                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaTilemapBackground.cpp"
0042BCC5   PUSH 004A2994                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaAnim.cpp"
0042BE65   PUSH 004A2994                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaAnim.cpp"
0042F765   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
0042F880   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
0042FAC4   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
0042FD3A   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
0043021E   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00430342   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
0043046C   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00430594   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
0043083C   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00430A0E   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00430BBC   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00430D8E   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00430F49   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00431126   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00431309   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
0043149C   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00431643   PUSH 004A2A80                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDrawPort.cpp"
00431D5D   PUSH 004A2AC4                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaCanvas.cpp"
00432D12   PUSH 004A2B8C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaSoundManager.cpp"
00432F04   PUSH 004A2B8C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaSoundManager.cpp"
00433122   MOV DWORD PTR DS:[EAX],00494A60           ASCII "01C"
00433150   MOV DWORD PTR DS:[ECX],00494A60           ASCII "01C"
00433571   PUSH 004A2C9C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinDisplay.cpp"
0043364B   MOV DWORD PTR SS:[ESP+3C],004A2BFC        ASCII "OPEN MEDIA TOOLKIT DISPLAY"
004336FE   PUSH 004A2BFC                             ASCII "OPEN MEDIA TOOLKIT DISPLAY"
00433731   PUSH 004A2BFC                             ASCII "OPEN MEDIA TOOLKIT DISPLAY"
00433AD5   MOV DWORD PTR DS:[ECX+ESI+4],00494B48     ASCII " CC"
00433B5A   MOV DWORD PTR DS:[ECX+ESI-3C],00494B48    ASCII " CC"
004344EC   MOV DWORD PTR DS:[ESI],00494BB8           ASCII "PFC"
00434502   PUSH 004A2D74                             ASCII "DISPLAY"
00434567   PUSH 004A2D2C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinScreenDevice.cpp"
00434692   MOV DWORD PTR DS:[EDI],00494BB8           ASCII "PFC"
0043488F   MOV EDI,004A2D7C                          ASCII "Open Media Toolkit Software"
004348C8   MOV ESI,004A2D7C                          ASCII "Open Media Toolkit Software"
00434A79   MOV EDI,004A2D98                          ASCII "MS-Windows GUI"
00434AA9   MOV ESI,004A2D98                          ASCII "MS-Windows GUI"
00434CF7   PUSH 004A2D2C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinScreenDevice.cpp"
00434E95   PUSH 004A2D2C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinScreenDevice.cpp"
00435485   PUSH 004A2D2C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinScreenDevice.cpp"
00435581   PUSH 004A2D2C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinScreenDevice.cpp"
00435770   PUSH 004A2D2C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaWinScreenDevice.cpp"
004363FD   MOV DWORD PTR DS:[ESI],00494C4C           ASCII " dC"
00436411   MOV DWORD PTR DS:[ESI+6C],00494C20        ASCII " hC"
00436443   MOV DWORD PTR DS:[ESI],00494C4C           ASCII " dC"
00436457   MOV DWORD PTR DS:[ESI+6C],00494C20        ASCII " hC"
0043686F   MOV DWORD PTR DS:[ESI],00494CE8           ASCII "0iC"
004368ED   MOV DWORD PTR DS:[ESI],00494CE8           ASCII "0iC"
004370A1   MOV DWORD PTR DS:[ESI],00494D4C           ASCII "PqC"
004370AD   MOV DWORD PTR SS:[EBP],00494D34           ASCII " sC"
00437198   MOV DWORD PTR DS:[ESI],00494D4C           ASCII "PqC"
0043719E   MOV DWORD PTR DS:[ESI+4C],00494D34        ASCII " sC"
004376D4   MOV DWORD PTR DS:[EAX],00494D98           ASCII " wC"
00437740   MOV DWORD PTR DS:[ECX],00494D98           ASCII " wC"
00438471   PUSH 004A2E74                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaMaskCanvas.cpp"
